"","MaternalGenotype","ID","BW","Fat","Lean","FreeWater","TotalWater","Date","DayfromDelivery","Notes","FoodIntake","FoodIntakebydays","Week","WeekbyDays","X15","X16","X17","X18","X19","X20","X21","leanchange","fatchange","caloriesconsumed","calorieschange","feedingeff"
"145","KO",8466,38.2,3.27,29.06,2.52,28.8,"7/1/19",-2,"",NA,9.9,NA,"3.5","Food from July 1-3 males removed on July 1","","","","",NA,"",-29.72,-8.28,NA,2.03000000000001,NA
"146","WT",8446,29.5,3.58,21.51,0.53,20.91,"7/1/19",-7,"",NA,8.4,NA,"3.5","Food from July 1-3 males removed on July 1","","","","",NA,"",5.64,1.71,NA,5.24000000000001,NA
"147","WT",8445,28.4,4,19.91,1.63,19.11,"7/1/19",-5,"",NA,13.3,NA,"3.5","Food from July 1-3 males removed on July 1","","","","",NA,"",12.12,2.07,NA,-0.0599999999999983,NA
"148","WT",8444,31.1,5.47,20.92,0.8,20.66,"7/1/19",-4,"",NA,NA,NA,"","Nibbler-disregard food intake","","","","",NA,"",13.64,-6.48,NA,7.63,NA
"149","WT",8467,32.6,4.28,23.84,1.86,23.41,"7/3/19",-3,"",NA,10.2,NA,"3.7","Food from July 3-july5","","","","",NA,"",13.92,-0.36,NA,0.590000000000009,NA
"150","KO",8465,30.3,2.81,23.22,1.51,22.4,"7/3/19",-5,"",NA,12,NA,"3.7","Food from July 3-july5","","","","",NA,"",9.68000000000001,1.8,NA,-3.4,NA
"151","KO",8466,25.9,2.35,21.63,0.54,19.21,"7/3/19",0,"Delivery",NA,22.7,NA,"3.7","Food from July 3-july5","","","","",NA,"",4.68000000000001,-2.25,NA,2.03000000000001,NA
"152","WT",8446,31.3,3.77,22.92,1.71,22.65,"7/3/19",-5,"",NA,11.5,NA,"3.7","Food from July 3-july5","","","","",NA,"",13.4,4.23,NA,5.24000000000001,NA
"153","WT",8445,31.9,4.23,22.94,1.67,22.9,"7/3/19",-3,"",NA,14.1,NA,"3.7","Food from July 3-july5","","","","",NA,"",16,-0.36,NA,-0.0599999999999983,NA
"154","WT",8444,33.6,4.75,24.33,1.48,23.85,"7/3/19",-2,"",NA,NA,NA,"","Nibbler-disregard food intake","","","","",NA,"",-23.64,-10.44,NA,7.63,NA
"155","WT",8467,36.2,4.24,27.32,1.01,25.99,"7/5/19",-1,"",42.2,14.3,0,"4.3","Food from July 5-July8","","","","",NA,"",-28.04,-2.79,122.802,-30.83,-25.1054543085617
"156","KO",8465,34,3.01,25.64,1.08,24.92,"7/5/19",-3,"",45.8,14.8,0,"4.3","Food from July 5-July8","","","","",NA,"",-18.8,-10.71,133.278,-29.51,-22.1416888008524
"157","KO",8466,27.8,2.1,22.8,0,12.71,"7/5/19",2,"",79.8,26.6,0,"4.3","Food from July 5-July8","","","","",NA,"",-1.08,0.0899999999999981,232.218,-0.99,-0.42632354081079
"158","WT",8446,36.7,4.24,26.27,1.67,26.12,"7/5/19",-3,"",43.6,14.1,0,"4.3","Food from July 5-July8","","","","",NA,"",-21.16,-7.29,126.876,-28.45,-22.4234685834988
"159","WT",8445,35.8,4.19,26.94,0.69,25.65,"7/5/19",-1,"",54.7,18.8,0,"4.3","Food from July 5-July8","","","","",NA,"",-35.2,-6.93,159.177,-42.13,-26.467391645778
"160","WT",8444,24.1,3.59,18.42,0.2,16.14,"7/5/19",0,"Delivery",NA,NA,NA,"","Nibbler-disregard food intake","","","","",NA,"",7.91999999999999,-1.26,NA,7.63,NA
"161","WT",8467,26,3.93,20.31,0.9,19.42,"7/6/19",0,"Delivery",NA,NA,NA,"","","","","","",NA,"",4.84,-5.76,NA,0.590000000000009,NA
"162","WT",8445,23.5,3.42,18.14,0.37,15.88,"7/6/19",0,"Delivery",NA,NA,NA,"","","","","","",NA,"",9.75999999999999,2.97,NA,-0.0599999999999983,NA
"163","WT",8467,27.4,3.29,21.52,0.22,18.63,"7/8/19",2,"",NA,14.8,NA,"4.5","Food from july 8-july10","","","","",NA,"",-0.799999999999997,0.54,NA,0.590000000000009,NA
"164","KO",8465,25.2,1.82,20.94,0.24,18.05,"7/8/19",0,"Delivery",NA,16.3,NA,"4.5","Food from july 8-july10","","","","",NA,"",7.47999999999999,2.07,NA,-3.4,NA
"165","KO",8466,27,2.11,22.53,0.27,19.66,"7/8/19",5,"",NA,25.2,NA,"4.5","Food from july 8-july10","","","","",NA,"",1.59999999999999,0.630000000000003,NA,2.03000000000001,NA
"166","WT",8446,26.9,3.43,20.98,0.01,18.21,"7/8/19",0,"Delivery",NA,17.6,NA,"4.5","Food from july 8-july10","","","","",NA,"",8.03999999999999,1.08,NA,5.24000000000001,NA
"167","WT",8445,26.6,3.75,20.58,0.23,17.54,"7/8/19",2,"",NA,20.1,NA,"4.5","Food from july 8-july10","","","","",NA,"",-3.08,-3.06,NA,-0.0599999999999983,NA
"168","WT",8444,25.6,3.45,20.4,0.29,17.61,"7/8/19",3,"",NA,NA,NA,"","Nibbler-disregard food intake","","","","",NA,"",0.320000000000007,-0.810000000000003,NA,7.63,NA
"169","WT",8467,26.8,3.35,21.32,0.45,18.91,"7/10/19",4,"",NA,13.1,NA,"4.7","Food from July 10-july12","","","","",NA,"",-3.28,-7.02,NA,0.590000000000009,NA
"170","KO",8465,27.3,2.05,22.81,0.27,19.73,"7/10/19",2,"",NA,14.7,NA,"4.7","Food from July 10-july12","","","","",NA,"",-1.11999999999999,-1.62,NA,-3.4,NA
"171","KO",8466,27.2,2.18,22.93,0.38,19.87,"7/10/19",7,"",NA,28,NA,"4.7","Food from July 10-july12","","","","",NA,"",4.32000000000001,3.87,NA,2.03000000000001,NA
"172","WT",8446,28.3,3.55,22.99,0.06,19.64,"7/10/19",2,"",NA,11.9,NA,"4.7","Food from July 10-july12","","","","",NA,"",-0.439999999999998,-2.7,NA,5.24000000000001,NA
"173","WT",8445,24.8,3.41,19.81,0.2,16.9,"7/10/19",4,"",NA,15.8,NA,"4.7","Food from July 10-july12","","","","",NA,"",6.08,0.899999999999997,NA,-0.0599999999999983,NA
"174","WT",8444,25.2,3.36,20.48,0.01,17.54,"7/10/19",5,"",NA,NA,NA,"","Nibbler-disregard food intake","","","","",NA,"",5.72,2.07,NA,7.63,NA
"175","WT",8467,25.7,2.57,20.5,0.33,17.81,"7/12/19",6,"",74.3,32.5,1,"5.3","Food from July 12-july15","","","","",NA,"",6.04000000000001,-2.7,216.213,3.34000000000001,1.54477297849806
"176","KO",8465,27.3,1.87,22.53,0.25,19.71,"7/12/19",4,"",89.6,37.5,1,"5.3","Food from July 12-july15","","","","",NA,"",8.28,5.4,260.736,13.68,5.24668630338734
"177","KO",8466,29.2,2.61,24.01,0.16,20.95,"7/12/19",9,"",92.3,50.7,1,"5.3","Food from July 12-july15","","","","",NA,"",0.799999999999997,-1.89,268.593,-1.09,-0.405818468835749
"178","WT",8446,28,3.25,22.88,0.13,19.6,"7/12/19",4,"",76.2,29,1,"5.3","Food from July 12-july15","","","","",NA,"",1.92,-4.5,221.742,-2.58,-1.16351435452012
"179","WT",8445,27,3.51,21.33,0.28,18.24,"7/12/19",6,"",109.6,40.6,1,"5.3","Food from July 12-july15","","","","",NA,"",2.28,-4.59,318.936,-2.31,-0.724283241778914
"180","WT",8444,27.1,3.59,21.91,0.22,18.78,"7/12/19",7,"",NA,NA,NA,"","","","","","",NA,"",2.28,-5.22,NA,7.63,NA
"181","WT",8467,26.7,2.27,22.01,0.09,19.36,"7/15/19",9,"",NA,18.6,NA,"5.5","Food from July15-17","","","","",NA,"",0.11999999999999,-1.62,NA,0.590000000000009,NA
"182","KO",8465,30,2.47,24.6,0.06,21.43,"7/15/19",7,"",NA,25.8,NA,"5.5","Food from July15-17","","","","",NA,"",2.88,0.18,NA,-3.4,NA
"183","KO",8466,29.1,2.4,24.21,0.47,21.16,"7/15/19",12,"",NA,41.6,NA,"5.5","Food from July15-17","","","","",NA,"",2.56,0.810000000000003,NA,2.03000000000001,NA
"184","WT",8446,28.3,2.75,23.36,0.11,20.31,"7/15/19",7,"",NA,23.7,NA,"5.5","Food from July15-17","","","","",NA,"",3.68000000000001,-2.25,NA,5.24000000000001,NA
"185","WT",8445,27,3,21.9,0.2,19.05,"7/15/19",9,"",NA,29.2,NA,"5.5","Food from July15-17","","","","",NA,"",4.12,-1.35,NA,-0.0599999999999983,NA
"186","WT",8444,27.2,3.01,22.48,0.17,19.41,"7/15/19",10,"",NA,NA,NA,"","","","","","",NA,"",1.08,0.720000000000001,NA,7.63,NA
"187","WT",8467,26.9,2.09,22.04,0.23,18.95,"7/17/19",11,"",NA,23.2,NA,"5.7","Food from July 17-19","","","","",NA,"",1.68000000000001,1.98,NA,0.590000000000009,NA
"188","KO",8465,31.2,2.49,25.32,0.3,22.06,"7/17/19",9,"",NA,26.3,NA,"5.7","Food from July 17-19","","","","",NA,"",-1.84,0.179999999999996,NA,-3.4,NA
"189","KO",8466,30.5,2.49,24.85,0.21,21.61,"7/17/19",14,"",NA,NA,NA,"","","","","","",NA,"",-0.960000000000008,-1.35,NA,2.03000000000001,NA
"190","WT",8446,29.6,2.5,24.28,0.21,21.04,"7/17/19",9,"",NA,23.5,NA,"5.7","Food from July 17-19","","","","",NA,"",3.44,3.87,NA,5.24000000000001,NA
"191","WT",8445,28.3,2.85,22.93,0.12,20.01,"7/17/19",11,"",NA,39.8,NA,"5.7","Food from July 17-19","","","","",NA,"",-0.959999999999994,3.15,NA,-0.0599999999999983,NA
"192","WT",8444,28.5,3.09,22.75,0.13,19.76,"7/17/19",12,"",NA,NA,NA,"Nibbler-disregard food intake","","","","","",NA,"",1.59999999999999,0.36,NA,7.63,NA
"193","WT",8467,27.8,2.31,22.46,0.11,19.49,"7/19/19",13,"",NA,47.2,2,"6.3","Food from July 19-22","","82.6","extrapolaed week 6 food (intake*7 / number of days counted)","",NA,"",5.08,4.23,NA,9.31,NA
"194","KO",8465,30.4,2.51,24.86,0.22,21.28,"7/19/19",11,"",NA,57,2,"6.3","Food from July 19-22","","99.75","","",NA,"",4.12,1.71,NA,5.83000000000001,NA
"195","KO",8466,29.6,2.34,24.61,0.39,21.53,"7/19/19",16,"Sac",NA,NA,NA,"","","","","","",NA,"",NA,NA,NA,2.03000000000001,NA
"196","WT",8446,30.8,2.93,25.14,0.22,21.61,"7/19/19",11,"",NA,52.1,2,"6.3","Food from July 19-22","","0","","",NA,"",4.48,0.36,NA,4.84,NA
"197","WT",8445,28.6,3.2,22.69,0.18,19.4,"7/19/19",13,"",NA,NA,2,"6.3","Food from July 19-22","","84.2","ifood removed pottentially incorrect too high","",NA,"",-4.12,-4.5,NA,-8.62,NA
"198","WT",8444,28.3,3.13,23.15,0.26,19.85,"7/19/19",14,"",NA,NA,NA,"","","","","","",NA,"",-2.8,-4.86,NA,7.63,NA
"199","WT",8444,28.2,2.59,22.45,0.12,19.52,"7/21/19",16,"Sac",NA,NA,NA,"","","","","","",NA,"",NA,NA,NA,7.63,NA
"200","WT",8467,29.9,2.78,23.73,0.29,20.98,"7/22/19",16,"Sac",NA,NA,NA,"","","","","","",NA,"",NA,NA,NA,0.590000000000009,NA
"201","KO",8465,31.7,2.7,25.89,0.22,22.51,"7/22/19",14,"",NA,38.3,NA,"6.5","Food from July 22-24","","","","",NA,"",-2.24000000000001,-2.25,NA,-3.4,NA
"202","WT",8446,32,2.97,26.26,0.29,22.88,"7/22/19",14,"",NA,34.7,NA,"6.5","Food from July 22-24","","","","",NA,"",-7.32000000000001,-8.19,NA,5.24000000000001,NA
"203","WT",8445,27.2,2.7,21.66,0.06,18.64,"7/22/19",16,"Sac",NA,NA,NA,"","","","","","",NA,"",NA,NA,NA,-0.0599999999999983,NA
"204","KO",8465,30.8,2.45,25.33,0.29,21.96,"7/24/19",16,"Sac",NA,NA,NA,"","","","","","",NA,"",NA,NA,NA,-3.4,NA
"205","WT",8446,29.5,2.06,24.43,0.51,21.56,"7/24/19",16,"Sac",NA,NA,NA,"","","","","","",NA,"",NA,NA,NA,5.24000000000001,NA
